ID,fitness,bc_demo1,bc_demo2,lvl_str
0,40,1.5089630835393049,4.603466905840964,"XXXXXXXXXXXXXXX
XX   XXXXXXXXXX
X    XXXXXXXXXX
XX XXX X1XXXX X
XX XXX   X    S
X    X        X
XX   X X2     X
O X  X XXPOXXXX
X        XXXXXX
XXXXDXXXXXXXXXX
"
1,40,3.096476704767515,3.7214928603826447,"XXXXXXXXXXXXXXX
D     XXSXXX1XX
XX           XX
XX XXXXXXXX XXX
X     XXXX    X
X     XXXXXX XX
X     XXXX   XX
O         XXXXX
X     2 XXXXXXX
XXXOPXXXXXXXXXX
"
2,40,1.4177935939664599,1.674554571773807,"XXXXXXXXXXXXXXX
XX1  XXXXXXXOXX
XX    XXS    XX
XX X  XXXXX XXX
X     XXX     X
X     XXXX   XX
X     XXXX X XX
XX         XXXX
X2     XXXXXXXX
XXPXOXDXXXXXXXX
"
3,40,3.7855354620916666,3.711511923194379,"XXXXXXXXXXXXXXX
XX2   XXXXXX1XX
X     XXX    XX
O  X  XXXX  XXX
X     XXXX X XX
X     XXXX   XX
X  X  XXXX   XX
X            XX
X        XXXXXX
XXDPOXSXXXXXXXX
"
4,40,4.546016638880664,4.801878965935419,"XXXXXXXXXXXXXXX
XX2  XXXXXXX1XX
X     XXX    XX
X  X  XXXX  XXX
X     XXXX X XX
X     XXXX   XX
X  X  XXXX   XX
O          X XX
X        XXXXXX
XXXODPSXXXXXXXX
"
5,40,3.0735105313185556,4.794032949840493,"XXXXXXXXXXXXXXX
XX   XXXXXXXXXX
X    XXXXX XXXX
O XX XXXXX XXXX
X    XXXXX    X
X             X
X     XXX     X
D     2 XX1XXXX
X         XXXXX
XXSXOXPXXXXXXXX
"
6,40,2.361354532637732,3.3614299697356884,"XXXXXXXXXXXXXXX
XXXX       XXXX
XX         X XX
XXXXXX XXXXX  X
XXXXXX        S
XX2XXX  XXX   D
XX X      XXX X
XO   XXXXXXXX O
XX     XX1    X
XXXXXXXXXXPPXXX
"
7,20,4.829410061021373,3.287528799795666,"XXXXXXXXXXXXXXX
S 2           X
X   X  X XXX  X
O 1 X  X   X  X
XXXXXX X XXXX X
X XX   X   X  X
X      X   X  X
X XXXX X XXX  X
X             X
XXXPXXXXDXXXOXX
"
8,40,0.29356518757455596,0.8478359281927311,"XXXXXXXXXXXXXXX
XXXX1XXXXXXXXXX
P S   XXXXXD XX
O  X  XXXXXX XX
X            XX
O            XX
X     X 2X   XX
XX X       XXXX
XXXXXXXXXXXXXXX
XXXXXXXXXXXXXXX
"
9,40,1.856349328212386,2.6140243473106346,"XXXXXXXXXXXXXXX
XXXXXX    XXXXX
XXX    X2  XXXX
XO XXX XXXXXX X
XX X          D
XX   X    X   S
XX   X     XX X
XX1  X XXPOXX X
XX      XXXXX X
XXXXXXXXXXXXXXX
"
10,40,0.4721431070580012,3.189995718640972,"XXXXXXXXXXXXXXX
XXXXXXXXO XXXXX
XX2  XXXD   XXX
XX   PXXXXX XXX
O         X   S
X             X
XX        XXXXX
X1     XX  XXXX
XXXX XXXXXXXXXX
XXXXXXXXXXXXXXX
"
11,40,4.688172962482547,4.23788094043091,"XXXXXXXXXXXXXXX
X     XX1XXXXXX
X     XX    2XX
O  XXXXXXX XX X
X  XXXXXXX    X
X     XXXXXXX X
X  X  XXXX    X
O          XX X
X         XXXXX
XXXSPXDXXXXXXXX
"
12,40,1.2103755329957337,3.8560792880895183,"XXXXXXXXXXXXXXX
XXXXOXXXXXXXXXX
D 2P XXXXXXXXXX
S      XXXXXXXX
X             X
O    X       XX
X    X  1    XX
XX X    X  XXXX
XXXXXX XX XXXXX
XXXXXXXXXXXXXXX
"
